Country Grouping,,Machine Line,,Artificial machine line,Primary Source,Secondary source NOT IN USE,CRP source,"Change
Indicator",delete,"Motor graders we have TM for, Backhoe Loaders we do not have TM for"
GTL,Timor-Leste,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GTL,Timor-Leste,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GTL,Timor-Leste,300,Compact Excavators,CEX,DES,,HVE,,,
GTL,Timor-Leste,350,Compact Wheel Loaders,350,DES,,HVE,,,
GTL,Timor-Leste,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GTL,Timor-Leste,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GTL,Timor-Leste,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GTL,Timor-Leste,380,Motor Graders,Motor Graders,DES,,HVE,,,
GTL,Timor-Leste,390,Compaction Machines,Compaction Machines,DES,,,,,
GTL,Timor-Leste,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GBN,Brunei,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GBN,Brunei,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GBN,Brunei,300,Compact Excavators,CEX,DES,,HVE,,,
GBN,Brunei,350,Compact Wheel Loaders,350,DES,,HVE,,,
GBN,Brunei,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GBN,Brunei,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GBN,Brunei,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GBN,Brunei,380,Motor Graders,Motor Graders,DES,,HVE,,,
GBN,Brunei,390,Compaction Machines,Compaction Machines,DES,,,,,
GBN,Brunei,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GAR,Argentina,300,Compact Excavators,CEX,OHR,PIN,HVE,,,
GAR,Argentina,310,GPE Crawler Excavators,GEC,OHR,PIN,HVE,,,
GAR,Argentina,320,GPE Wheel Excavators,GEW,OHR,PIN,HVE,,,
GAR,Argentina,330,Articulated Haulers,Articulated Haulers,OHR,PIN,HVE,,,
GAR,Argentina,340,Rigid Haulers,Rigid Haulers,OHR,PIN,HVE,,,
GAR,Argentina,350,Compact Wheel Loaders,350,OHR,PIN,HVE,,,
GAR,Argentina,360,GPE Wheel Loaders,WLO,OHR,PIN,HVE,,,
GAR,Argentina,380,Motor Graders,Motor Graders,OHR,PIN,HVE,,,
GAR,Argentina,390,Compaction Machines,Compaction Machines,OHR,PIN,,,,
GAR,Argentina,410,Backhoe Loaders,Backhoe Loaders,OHR,PIN,,,,
GAU,Australia,300,Compact Excavators,CEX,EAU,,HVE,,,
GAU,Australia,310,GPE Crawler Excavators,GEC,EAU,,HVE,,,
GAU,Australia,320,GPE Wheel Excavators,GEW,EAU,,HVE,,,
GAU,Australia,330,Articulated Haulers,Articulated Haulers,EAU,,HVE,,,
GAU,Australia,340,Rigid Haulers,Rigid Haulers,EAU,,HVE,,,
GAU,Australia,350,Compact Wheel Loaders,350,EAU,,HVE,,,
GAU,Australia,360,GPE Wheel Loaders,WLO,EAU,,HVE,,,
GAU,Australia,380,Motor Graders,Motor Graders,EAU,,HVE,,,
GAU,Australia,390,Compaction Machines,Compaction Machines,EAU,,,,,
GAU,Australia,410,Backhoe Loaders,Backhoe Loaders,EAU,,,,,
GAT,Austria,300,Compact Excavators,CEX,OHR,,CEE,,,
GAT,Austria,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GAT,Austria,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GAT,Austria,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
