country_grouping,country_name,machine_line_code,machine_line_name,primary_source,secondary_source,crp_source,change_indicator
GAR,Argentina,320,GPE Wheel Excavators,OHR,PIN,HVE,
GAR,Argentina,330,Articulated Haulers,OHR,PIN,HVE,
GAR,Argentina,340,Rigid Haulers,OHR,PIN,HVE,
GAR,Argentina,350,Compact Wheel Loaders,OHR,PIN,HVE,
GAR,Argentina,360,GPE Wheel Loaders,OHR,PIN,HVE,
GAR,Argentina,380,Motor Graders,OHR,PIN,HVE,
GAR,Argentina,390,Compaction Machines,OHR,PIN,,
GAR,Argentina,410,Backhoe Loaders,OHR,PIN,,
GAU,Australia,300,Compact Excavators,EAU,,HVE,
GAU,Australia,310,GPE Crawler Excavators,EAU,,HVE,
GAU,Australia,320,GPE Wheel Excavators,EAU,,HVE,
GAU,Australia,330,Articulated Haulers,EAU,,HVE,
GAU,Australia,340,Rigid Haulers,EAU,,HVE,
GAU,Australia,350,Compact Wheel Loaders,EAU,,HVE,
GAU,Australia,360,GPE Wheel Loaders,EAU,,HVE,
GAU,Australia,380,Motor Graders,EAU,,HVE,
GAU,Australia,390,Compaction Machines,EAU,,,
GAU,Australia,410,Backhoe Loaders,EAU,,,
GAT,Austria,300,Compact Excavators,OHR,,CEE,
GAT,Austria,310,GPE Crawler Excavators,OHR,,CEE,
GAT,Austria,320,GPE Wheel Excavators,OHR,,CEE,
GAT,Austria,330,Articulated Haulers,OHR,,CEE,
GAT,Austria,340,Rigid Haulers,OHR,,CEE,
GAT,Austria,350,Compact Wheel Loaders,OHR,,CEE,
GAT,Austria,360,GPE Wheel Loaders,OHR,,CEE,
GAT,Austria,380,Motor Graders,OHR,,CEE,
GAT,Austria,390,Compaction Machines,,,,
GAT,Austria,410,Backhoe Loaders,OHR,,,
GBE,Belgium,300,Compact Excavators,OHR,,CEE,
GBE,Belgium,310,GPE Crawler Excavators,OHR,,CEE,
GBE,Belgium,320,GPE Wheel Excavators,OHR,,CEE,
GBE,Belgium,330,Articulated Haulers,OHR,,CEE,
GBE,Belgium,340,Rigid Haulers,OHR,,CEE,
GBE,Belgium,350,Compact Wheel Loaders,OHR,,CEE,
GBE,Belgium,360,GPE Wheel Loaders,OHR,,CEE,
GBE,Belgium,380,Motor Graders,OHR,,CEE,
GBE,Belgium,390,Compaction Machines,,,,
GBE,Belgium,410,Backhoe Loaders,OHR,,,
GBR,Brazil,300,Compact Excavators,OHR,PIN,ABQ,
GBR,Brazil,310,GPE Crawler Excavators,OHR,PIN,ABQ,
GBR,Brazil,320,GPE Wheel Excavators,OHR,PIN,HVE,
GBR,Brazil,330,Articulated Haulers,OHR,PIN,HVE,
GBR,Brazil,340,Rigid Haulers,OHR,PIN,HVE,
GBR,Brazil,350,Compact Wheel Loaders,OHR,PIN,ABQ,
GBR,Brazil,360,GPE Wheel Loaders,OHR,PIN,ABQ,
GBR,Brazil,380,Motor Graders,OHR,PIN,ABQ,
GBR,Brazil,390,Compaction Machines,OHR,PIN,ABQ,
GBR,Brazil,410,Backhoe Loaders,OHR,PIN,,
GKH,Cambodia,300,Compact Excavators,DES,,HVE,
GKH,Cambodia,310,GPE Crawler Excavators,DES,,HVE,
GKH,Cambodia,320,GPE Wheel Excavators,DES,,HVE,
GKH,Cambodia,330,Articulated Haulers,DES,,HVE,
GKH,Cambodia,340,Rigid Haulers,DES,,HVE,
GKH,Cambodia,350,Compact Wheel Loaders,DES,,HVE,
GKH,Cambodia,360,GPE Wheel Loaders,DES,,HVE,
GKH,Cambodia,380,Motor Graders,DES,,HVE,
GKH,Cambodia,390,Compaction Machines,DES,,,
GKH,Cambodia,410,Backhoe Loaders,DES,,,
GCA,Canada,300,Compact Excavators,OHR,,HVN,
GCA,Canada,310,GPE Crawler Excavators,OHR,,HVN,
GCA,Canada,320,GPE Wheel Excavators,OHR,,HVN,
GCA,Canada,330,Articulated Haulers,OHR,,HVN,
GCA,Canada,340,Rigid Haulers,OHR,,HVN,
GCA,Canada,350,Compact Wheel Loaders,OHR,,HVN,
GCA,Canada,360,GPE Wheel Loaders,OHR,,HVN,
GCA,Canada,380,Motor Graders,OHR,,HVN,
GCA,Canada,390,Compaction Machines,ORR,,,
GCA,Canada,410,Backhoe Loaders,OHR,,,
GCL,Chile,300,Compact Excavators,CLF,,HVE,
GCL,Chile,310,GPE Crawler Excavators,CLF,,HVE,
GCL,Chile,320,GPE Wheel Excavators,CLF,,HVE,
GCL,Chile,330,Articulated Haulers,CLF,,HVE,
GCL,Chile,340,Rigid Haulers,CLF,,HVE,
GCL,Chile,350,Compact Wheel Loaders,CLF,,HVE,
GCL,Chile,360,GPE Wheel Loaders,CLF,,HVE,
GCL,Chile,380,Motor Graders,CLF,,HVE,
GCL,Chile,390,Compaction Machines,CLF,,,
GCL,Chile,410,Backhoe Loaders,CLF,,,
GCN,China,300,Compact Excavators,OHR,,MAC,
GCN,China,310,GPE Crawler Excavators,OHR,,MAC,
GCN,China,320,GPE Wheel Excavators,OHR,,MAC,
GCN,China,330,Articulated Haulers,OHR,,HVE,
GCN,China,340,Rigid Haulers,OHR,,HVE,
GCN,China,350,Compact Wheel Loaders,OHR,,MAC,
GCN,China,360,GPE Wheel Loaders,OHR,,MAC,
GCN,China,380,Motor Graders,OHR,,HVE,
GCN,China,390,Compaction Machines,CMM,,,
GCN,China,410,Backhoe Loaders,OHR,,,
GCO,Colombia,300,Compact Excavators,OHR,PIN,HVE,
GCO,Colombia,310,GPE Crawler Excavators,OHR,PIN,HVE,
GCO,Colombia,320,GPE Wheel Excavators,OHR,PIN,HVE,
GCO,Colombia,330,Articulated Haulers,OHR,PIN,HVE,
GCO,Colombia,340,Rigid Haulers,OHR,PIN,HVE,
GCO,Colombia,350,Compact Wheel Loaders,OHR,PIN,HVE,
GCO,Colombia,360,GPE Wheel Loaders,OHR,PIN,HVE,
GCO,Colombia,380,Motor Graders,OHR,PIN,HVE,
GCO,Colombia,390,Compaction Machines,OHR,PIN,,
GCO,Colombia,410,Backhoe Loaders,OHR,PIN,,
GCZ,Czech Republic,300,Compact Excavators,OHR,,CEE,
GCZ,Czech Republic,310,GPE Crawler Excavators,OHR,,CEE,
GCZ,Czech Republic,320,GPE Wheel Excavators,OHR,,CEE,
GCZ,Czech Republic,330,Articulated Haulers,OHR,,CEE,
GCZ,Czech Republic,340,Rigid Haulers,OHR,,CEE,
GCZ,Czech Republic,350,Compact Wheel Loaders,OHR,,CEE,
GCZ,Czech Republic,360,GPE Wheel Loaders,OHR,,CEE,
GCZ,Czech Republic,380,Motor Graders,OHR,,CEE,
