Calendar Year,Source,,Machine Line,,Brand Code,
2024,CECE,CEE,GPE Excavators Crawled,GEC,Eurocomach,EUR
2024,CECE,CEE,Wheel Loaders,WLO,Gehl,GEH
2024,CECE,CEE,Wheel Loaders,WLO,Hidromek,HID
2024,CECE,CEE,Compact Excavators,CEX,Hidromek,HID
2024,CECE,CEE,GPE Excavators Crawled,GEC,Hidromek,HID
2024,CECE,CEE,Motor Graders,380,Hidromek,HID
2024,CECE,CEE,GPE Excavators Wheeled,GEW,Hidromek,HID
2024,CECE,CEE,Wheel Loaders,WLO,Hitachi,HIT
2024,CECE,CEE,Compact Excavators,CEX,Hitachi,HIT
2024,CECE,CEE,GPE Excavators Crawled,GEC,Hitachi,HIT
2024,CECE,CEE,Rigid Haulers,340,Hitachi,HIT
2024,CECE,CEE,GPE Excavators Wheeled,GEW,Hitachi,HIT
2024,CECE,CEE,Wheel Loaders,WLO,Hyundai,HYU
2024,CECE,CEE,Compact Excavators,CEX,Hyundai,HYU
2024,CECE,CEE,GPE Excavators Crawled,GEC,Hyundai,HYU
2024,CECE,CEE,Articulated Haulers,330,Hyundai,HYU
2024,CECE,CEE,GPE Excavators Wheeled,GEW,Hyundai,HYU
2024,CECE,CEE,Wheel Loaders,WLO,JCB,JCB
2024,CECE,CEE,Articulated Haulers,330,JCB,JCB
2024,CECE,CEE,Compact Excavators,CEX,JCB,JCB
2024,CECE,CEE,GPE Excavators Crawled,GEC,JCB,JCB
2024,CECE,CEE,GPE Excavators Wheeled,GEW,JCB,JCB
2024,CECE,CEE,Compact Excavators,CEX,Kato Imer,KAT
2024,CECE,CEE,GPE Excavators Crawled,GEC,Kato Imer,KAT
2024,CECE,CEE,Compact Excavators,CEX,Kobelco,KOB
2024,CECE,CEE,GPE Excavators Crawled,GEC,Kobelco,KOB
2024,CECE,CEE,Wheel Loaders,WLO,Komatsu,KOM
2024,CECE,CEE,Compact Excavators,CEX,Komatsu,KOM
2024,CECE,CEE,GPE Excavators Crawled,GEC,Komatsu,KOM
2024,CECE,CEE,Rigid Haulers,340,Komatsu,KOM
2024,CECE,CEE,Articulated Haulers,330,Komatsu,KOM
2024,CECE,CEE,Motor Graders,380,Komatsu,KOM
2024,CECE,CEE,GPE Excavators Wheeled,GEW,Komatsu,KOM
2024,CECE,CEE,Compact Excavators,CEX,Komatsu Mining,KMM
2024,CECE,CEE,GPE Excavators Crawled,GEC,Komatsu Mining,KMM
2024,CECE,CEE,Wheel Loaders,WLO,Kramer,KRA
2024,CECE,CEE,Wheel Loaders,WLO,Kubota,KUB
2024,CECE,CEE,Compact Excavators,CEX,Kubota,KUB
2024,CECE,CEE,GPE Excavators Crawled,GEC,Kubota,KUB
2024,CECE,CEE,Wheel Loaders,WLO,Liebherr,LIE
2024,CECE,CEE,Compact Excavators,CEX,Liebherr,LIE
2024,CECE,CEE,GPE Excavators Crawled,GEC,Liebherr,LIE
2024,CECE,CEE,Articulated Haulers,330,Liebherr,LIE
2024,CECE,CEE,GPE Excavators Wheeled,GEW,Liebherr,LIE
2024,CECE,CEE,Wheel Loaders,WLO,Liugong,LIU
2024,CECE,CEE,Compact Excavators,CEX,Liugong,LIU
2024,CECE,CEE,GPE Excavators Crawled,GEC,Liugong,LIU
2024,CECE,CEE,Motor Graders,380,Liugong,LIU
2024,CECE,CEE,Wheel Loaders,WLO,Manitou,MTU
2024,CECE,CEE,Compact Excavators,CEX,Mecalac,MEC
2024,CECE,CEE,GPE Excavators Crawled,GEC,Mecalac,MEC
2024,CECE,CEE,Wheel Loaders,WLO,Mecalac,MEC
2024,CECE,CEE,GPE Excavators Wheeled,GEW,Mecalac,MEC
2024,CECE,CEE,Compact Excavators,CEX,Messersi,MES
2024,CECE,CEE,GPE Excavators Crawled,GEC,Messersi,MES
2024,CECE,CEE,Compact Excavators,CEX,New Holland,NEW
2024,CECE,CEE,GPE Excavators Crawled,GEC,New Holland,NEW
2024,CECE,CEE,Motor Graders,380,New Holland,NEW
2024,CECE,CEE,Wheel Loaders,WLO,New Holland,NEW
2024,CECE,CEE,GPE Excavators Wheeled,GEW,New Holland,NEW
2024,CECE,CEE,Wheel Loaders,WLO,Paus,PAU
2024,CECE,CEE,Articulated Haulers,330,Rokbak,ROK
2024,CECE,CEE,Compact Excavators,CEX,Sany,SNY
2024,CECE,CEE,GPE Excavators Crawled,GEC,Sany,SNY
2024,CECE,CEE,Wheel Loaders,WLO,Sany,SNY
2024,CECE,CEE,GPE Excavators Wheeled,GEW,Sany,SNY
2024,CECE,CEE,Motor Graders,380,SEM,SEM
2024,CECE,CEE,Wheel Loaders,WLO,SEM,SEM
2024,CECE,CEE,Compact Excavators,CEX,Sunward,SUN
2024,CECE,CEE,GPE Excavators Crawled,GEC,Sunward,SUN
2024,CECE,CEE,Wheel Loaders,WLO,Venieri,VEN
2024,CECE,CEE,Rigid Haulers,340,Volvo,VCE
2024,CECE,CEE,Compact Excavators,CEX,Volvo,VCE
2024,CECE,CEE,GPE Excavators Crawled,GEC,Volvo,VCE
2024,CECE,CEE,Articulated Haulers,330,Volvo,VCE
2024,CECE,CEE,Motor Graders,380,Volvo,VCE
2024,CECE,CEE,Wheel Loaders,WLO,Volvo,VCE
2024,CECE,CEE,GPE Excavators Wheeled,GEW,Volvo,VCE
2024,CECE,CEE,Compact Excavators,CEX,Wacker Neuson,WAN
2024,CECE,CEE,GPE Excavators Crawled,GEC,Wacker Neuson,WAN
2024,CECE,CEE,Wheel Loaders,WLO,Wacker Neuson,WAN
2024,CECE,CEE,GPE Excavators Wheeled,GEW,Wacker Neuson,WAN
2024,CECE,CEE,Compact Excavators,CEX,Yanmar,YAN
2024,CECE,CEE,GPE Excavators Crawled,GEC,Yanmar,YAN
2024,CECE,CEE,Wheel Loaders,WLO,Yanmar,YAN
2024,CECE,CEE,GPE Excavators Wheeled,GEW,Yanmar,YAN
2024,HARGROVE,HVE,Compact Excavators,CEX,Airman,AIR
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Airman,AIR
2024,HARGROVE,HVE,Wheel Loaders,WLO,Atlas Weyhausen,ATW
2024,HARGROVE,HVE,Articulated Haulers,330,Bell,BEL
2024,HARGROVE,HVE,Motor Graders,380,Bell,BEL
2024,HARGROVE,HVE,Wheel Loaders,WLO,Bell,BEL
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,Bobcat,BOB
2024,HARGROVE,HVE,Compact Excavators,CEX,Bobcat,BOB
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Bobcat,BOB
2024,HARGROVE,HVE,Wheel Loaders,WLO,Bobcat,BOB
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,Case,CAS
2024,HARGROVE,HVE,Compact Excavators,CEX,Case,CAS
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Case,CAS
2024,HARGROVE,HVE,Motor Graders,380,Case,CAS
2024,HARGROVE,HVE,Wheel Loaders,WLO,Case,CAS
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,Caterpillar,CAT
2024,HARGROVE,HVE,Articulated Haulers,330,Caterpillar,CAT
2024,HARGROVE,HVE,Compact Excavators,CEX,Caterpillar,CAT
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Caterpillar,CAT
2024,HARGROVE,HVE,Rigid Haulers,340,Caterpillar,CAT
2024,HARGROVE,HVE,Motor Graders,380,Caterpillar,CAT
2024,HARGROVE,HVE,Wheel Loaders,WLO,Caterpillar,CAT
2024,HARGROVE,HVE,Wheel Loaders,WLO,Claas,CLA
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,Cukurova,CUK
2024,HARGROVE,HVE,Compact Excavators,CEX,Cukurova,CUK
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Cukurova,CUK
2024,HARGROVE,HVE,Wheel Loaders,WLO,Cukurova,CUK
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,Deere,JOH
2024,HARGROVE,HVE,Articulated Haulers,330,Deere,JOH
2024,HARGROVE,HVE,Compact Excavators,CEX,Deere,JOH
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Deere,JOH
2024,HARGROVE,HVE,Rigid Haulers,340,Deere,JOH
2024,HARGROVE,HVE,Motor Graders,380,Deere,JOH
2024,HARGROVE,HVE,Wheel Loaders,WLO,Deere,JOH
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,Develon,DOO
2024,HARGROVE,HVE,Articulated Haulers,330,Develon,DOO
2024,HARGROVE,HVE,Compact Excavators,CEX,Develon,DOO
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Develon,DOO
2024,HARGROVE,HVE,Motor Graders,380,Develon,DOO
2024,HARGROVE,HVE,Wheel Loaders,WLO,Develon,DOO
2024,HARGROVE,HVE,Compact Excavators,CEX,Eurocomach,EUR
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Eurocomach,EUR
2024,HARGROVE,HVE,Compact Excavators,CEX,Foton Lovol,FOL
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Foton Lovol,FOL
2024,HARGROVE,HVE,Wheel Loaders,WLO,Foton Lovol,FOL
2024,HARGROVE,HVE,Compact Excavators,CEX,Gehl,GEH
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Gehl,GEH
2024,HARGROVE,HVE,Wheel Loaders,WLO,Gehl,GEH
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,Gradall,GRA
2024,HARGROVE,HVE,Compact Excavators,CEX,Gradall,GRA
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Gradall,GRA
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,Hidromek,HID
2024,HARGROVE,HVE,Compact Excavators,CEX,Hidromek,HID
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Hidromek,HID
2024,HARGROVE,HVE,Motor Graders,380,Hidromek,HID
2024,HARGROVE,HVE,Wheel Loaders,WLO,Hidromek,HID
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,Hitachi,HIT
2024,HARGROVE,HVE,Compact Excavators,CEX,Hitachi,HIT
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,Hitachi,HIT
2024,HARGROVE,HVE,Rigid Haulers,340,Hitachi,HIT
2024,HARGROVE,HVE,Wheel Loaders,WLO,Hitachi,HIT
