Year,Geographical Region,Geographical Market Area,End Country,End Country Code,Machine Family,Machine Line,Machine Line Code,Size Class,Size Class Mapping,Total Market FID Sales
2024,Region Asia,MA Asia East,Japan,JP,General Purpose Equipment,GPE Wheel Loaders,360,WLC20<21,>12,111
2024,Region Asia,MA Asia East,Japan,JP,General Purpose Equipment,GPE Wheel Loaders,360,WLC21<23,>12,4
2024,Region Asia,MA Asia East,Japan,JP,General Purpose Equipment,GPE Wheel Loaders,360,WLC23<30,>12,27
2024,Region Asia,MA Asia East,Japan,JP,General Purpose Equipment,Rigid Haulers,340,RH0<55,Rigid Haulers,52
2024,Region Asia,MA Asia East,Japan,JP,General Purpose Equipment,Rigid Haulers,340,RH120<200,Rigid Haulers,0
2024,Region Asia,MA Asia East,Japan,JP,General Purpose Equipment,Rigid Haulers,340,RH55<75,Rigid Haulers,24
2024,Region Asia,MA Asia East,Japan,JP,General Purpose Equipment,Rigid Haulers,340,RH75<120,Rigid Haulers,10
2024,Region Asia,MA Asia East,Japan,JP,Road Machinery Equipment,Compaction Machines,390,3WSR,Compaction Machines,73
2024,Region Asia,MA Asia East,Japan,JP,Road Machinery Equipment,Compaction Machines,390,CR0<1.8,Compaction Machines,1
2024,Region Asia,MA Asia East,Japan,JP,Road Machinery Equipment,Compaction Machines,390,CR1.8<3,Compaction Machines,358
2024,Region Asia,MA Asia East,Japan,JP,Road Machinery Equipment,Compaction Machines,390,CR3<5,Compaction Machines,401
2024,Region Asia,MA Asia East,Japan,JP,Road Machinery Equipment,Compaction Machines,390,PTR0<2.5,Compaction Machines,264
2024,Region Asia,MA Asia East,Japan,JP,Road Machinery Equipment,Compaction Machines,390,PTR2.5+,Compaction Machines,0
2024,Region Asia,MA Asia East,Japan,JP,Road Machinery Equipment,Compaction Machines,390,VS-SP0<5,Compaction Machines,3
2024,Region Asia,MA Asia East,Japan,JP,Road Machinery Equipment,Compaction Machines,390,VS-SS12<15,Compaction Machines,18
2024,Region Asia,MA Asia East,Japan,JP,Road Machinery Equipment,Compaction Machines,390,VS-SS15<19,Compaction Machines,6
2024,Region Asia,MA Asia East,Japan,JP,Road Machinery Equipment,Compaction Machines,390,VS-SS19+,Compaction Machines,5
2024,Region Asia,MA Asia East,Japan,JP,Road Machinery Equipment,Compaction Machines,390,VS-SS8<12,Compaction Machines,51
2024,Region Asia,MA Asia East,Japan,JP,Road Machinery Equipment,Compaction Machines,390,VTR-2D1.8<3.0,Compaction Machines,22
2024,Region Asia,MA Asia East,Japan,JP,Road Machinery Equipment,Compaction Machines,390,VTR-2D3.0<5.0,Compaction Machines,42
2024,Region Asia,MA Asia East,Japan,JP,Road Machinery Equipment,Compaction Machines,390,VTR-2D5.0<8.0,Compaction Machines,12
2024,Region Asia,MA Asia East,Japan,JP,Road Machinery Equipment,Compaction Machines,390,VTR-2D8.0<11.3,Compaction Machines,0
2024,Region Asia,MA Asia East,Malaysia,MY,Compact Equipment,Compact Excavators,CEX,EC1<2,<6T,15
2024,Region Asia,MA Asia East,Malaysia,MY,Compact Equipment,Compact Excavators,CEX,EC2<3,<6T,7
2024,Region Asia,MA Asia East,Malaysia,MY,Compact Equipment,Compact Excavators,CEX,EC3<4,<6T,54
2024,Region Asia,MA Asia East,Malaysia,MY,Compact Equipment,Compact Excavators,CEX,EC4<5,<6T,25
2024,Region Asia,MA Asia East,Malaysia,MY,Compact Equipment,Compact Excavators,CEX,EC5<6,<6T,50
2024,Region Asia,MA Asia East,Malaysia,MY,Compact Equipment,Compact Excavators,CEX,EC6<8,6<10T,141
2024,Region Asia,MA Asia East,Malaysia,MY,Compact Equipment,Compact Excavators,CEX,EC8<10,6<10T,1
2024,Region Asia,MA Asia East,Malaysia,MY,Compact Equipment,Compact Excavators,CEX,EW0<6,<6T,2
2024,Region Asia,MA Asia East,Malaysia,MY,Compact Equipment,Compact Wheel Loaders,350,WLC10<12,10<12,1
2024,Region Asia,MA Asia East,Malaysia,MY,Compact Equipment,Compact Wheel Loaders,350,WLC12<13,>12,79
2024,Region Asia,MA Asia East,Malaysia,MY,Compact Equipment,Compact Wheel Loaders,350,WLC7<8,7<10,13
2024,Region Asia,MA Asia East,Malaysia,MY,Compact Equipment,Compact Wheel Loaders,350,WLC8<9,7<10,23
2024,Region Asia,MA Asia East,Malaysia,MY,Compact Equipment,Compact Wheel Loaders,350,WLC9<10,7<10,5
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,Articulated Haulers,330,AH30<35,Articulated Haulers,3
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,Articulated Haulers,330,AH35+,Articulated Haulers,0
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Crawler Excavators,310,EC100<120,>10T,0
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Crawler Excavators,310,EC10<14,>10T,365
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Crawler Excavators,310,EC120<150,>10T,1
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Crawler Excavators,310,EC14<16,>10T,182
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Crawler Excavators,310,EC16<19,>10T,1
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Crawler Excavators,310,EC19<21,>10T,972
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Crawler Excavators,310,EC21<24,>10T,220
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Crawler Excavators,310,EC24<28,>10T,28
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Crawler Excavators,310,EC28<33,>10T,210
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Crawler Excavators,310,EC33<40,>10T,428
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Crawler Excavators,310,EC40<50,>10T,74
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Crawler Excavators,310,EC50<66,>10T,53
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Crawler Excavators,310,EC66<80,>10T,2
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Crawler Excavators,310,EC80<100,>10T,1
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Wheel Excavators,320,EW13<15,>11T,1
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Wheel Excavators,320,EW15<17,>11T,0
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Wheel Excavators,320,EW17<20,>11T,0
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Wheel Loaders,360,WLC13<14,>12,16
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Wheel Loaders,360,WLC14<15,>12,3
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Wheel Loaders,360,WLC15<16,>12,53
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Wheel Loaders,360,WLC16<17,>12,184
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Wheel Loaders,360,WLC17<18,>12,38
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Wheel Loaders,360,WLC18<19,>12,4
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Wheel Loaders,360,WLC19<20,>12,1
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,GPE Wheel Loaders,360,WLC21<23,>12,2
2024,Region Asia,MA Asia East,Malaysia,MY,General Purpose Equipment,Rigid Haulers,340,RH75<120,Rigid Haulers,0
2024,Region Asia,MA Asia East,Malaysia,MY,Road Machinery Equipment,Compaction Machines,390,3WSR,Compaction Machines,1
2024,Region Asia,MA Asia East,Malaysia,MY,Road Machinery Equipment,Compaction Machines,390,CR1.8<3,Compaction Machines,5
2024,Region Asia,MA Asia East,Malaysia,MY,Road Machinery Equipment,Compaction Machines,390,CR3<5,Compaction Machines,3
2024,Region Asia,MA Asia East,Malaysia,MY,Road Machinery Equipment,Compaction Machines,390,PTR0<2.5,Compaction Machines,6
2024,Region Asia,MA Asia East,Malaysia,MY,Road Machinery Equipment,Compaction Machines,390,PTR2.5+,Compaction Machines,1
2024,Region Asia,MA Asia East,Malaysia,MY,Road Machinery Equipment,Compaction Machines,390,VS-SS12<15,Compaction Machines,56
2024,Region Asia,MA Asia East,Malaysia,MY,Road Machinery Equipment,Compaction Machines,390,VS-SS15<19,Compaction Machines,2
2024,Region Asia,MA Asia East,Malaysia,MY,Road Machinery Equipment,Compaction Machines,390,VS-SS19+,Compaction Machines,0
2024,Region Asia,MA Asia East,Malaysia,MY,Road Machinery Equipment,Compaction Machines,390,VS-SS8<12,Compaction Machines,296
2024,Region Asia,MA Asia East,Malaysia,MY,Road Machinery Equipment,Compaction Machines,390,VTR-2D0<1.8,Compaction Machines,0
2024,Region Asia,MA Asia East,Malaysia,MY,Road Machinery Equipment,Compaction Machines,390,VTR-2D3.0<5.0,Compaction Machines,5
2024,Region Asia,MA Asia East,Malaysia,MY,Road Machinery Equipment,Compaction Machines,390,VTR-2D5.0<8.0,Compaction Machines,1
2024,Region Asia,MA Asia East,Malaysia,MY,Road Machinery Equipment,Compaction Machines,390,VTR-2D8.0<11.3,Compaction Machines,7
2024,Region Asia,MA Asia East,Philippines,PH,Compact Equipment,Compact Excavators,CEX,EC1<2,<6T,24
2024,Region Asia,MA Asia East,Philippines,PH,Compact Equipment,Compact Excavators,CEX,EC2<3,<6T,10
2024,Region Asia,MA Asia East,Philippines,PH,Compact Equipment,Compact Excavators,CEX,EC3<4,<6T,50
2024,Region Asia,MA Asia East,Philippines,PH,Compact Equipment,Compact Excavators,CEX,EC4<5,<6T,19
2024,Region Asia,MA Asia East,Philippines,PH,Compact Equipment,Compact Excavators,CEX,EC5<6,<6T,226
2024,Region Asia,MA Asia East,Philippines,PH,Compact Equipment,Compact Excavators,CEX,EC6<8,6<10T,189
2024,Region Asia,MA Asia East,Philippines,PH,Compact Equipment,Compact Excavators,CEX,EC8<10,6<10T,16
2024,Region Asia,MA Asia East,Philippines,PH,Compact Equipment,Compact Excavators,CEX,EW0<6,<6T,43
2024,Region Asia,MA Asia East,Philippines,PH,Compact Equipment,Compact Excavators,CEX,EW6<8,6<10T,0
2024,Region Asia,MA Asia East,Philippines,PH,Compact Equipment,Compact Wheel Loaders,350,WLC10<12,10<12,1
2024,Region Asia,MA Asia East,Philippines,PH,Compact Equipment,Compact Wheel Loaders,350,WLC12<13,>12,176
2024,Region Asia,MA Asia East,Philippines,PH,Compact Equipment,Compact Wheel Loaders,350,WLC5<6,<7,2
2024,Region Asia,MA Asia East,Philippines,PH,Compact Equipment,Compact Wheel Loaders,350,WLC7<8,7<10,9
2024,Region Asia,MA Asia East,Philippines,PH,Compact Equipment,Compact Wheel Loaders,350,WLC8<9,7<10,32
2024,Region Asia,MA Asia East,Philippines,PH,Compact Equipment,Compact Wheel Loaders,350,WLC9<10,7<10,2
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,Articulated Haulers,330,AH35+,Articulated Haulers,7
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Crawler Excavators,310,EC100<120,>10T,0
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Crawler Excavators,310,EC10<14,>10T,376
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Crawler Excavators,310,EC120<150,>10T,24
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Crawler Excavators,310,EC14<16,>10T,105
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Crawler Excavators,310,EC150<200,>10T,1
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Crawler Excavators,310,EC19<21,>10T,"1,772"
2024,Region Asia,MA Asia East,Philippines,PH,General Purpose Equipment,GPE Crawler Excavators,310,EC21<24,>10T,"1,448"
