Calendar Year,Region,Market Area,Country,Machine Line code,Machine Line,Size Class Flag,Brand Owner code,Brand Owner ,Brand,Brand Nationality,Source,FID
2024,Region Asia,MA Asia West,Indonesia,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,14
2024,Region Asia,MA Asia West,Lao,360,GPE Wheel Loaders,>12,VCE,Volvo CE,SDLG,China,SAL,2
2024,Region Asia,MA Asia West,Myanmar,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,SDLG,China,SAL,23
2024,Region Asia,MA Asia West,Myanmar,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,1
2024,Region Asia,MA Asia West,Thailand,300,Compact Excavators,Midi,VCE,Volvo CE,SDLG,China,SAL,24
2024,Region Asia,MA Asia West,Thailand,300,Compact Excavators,Mini,VCE,Volvo CE,SDLG,China,SAL,83
2024,Region Asia,MA Asia West,Thailand,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,3
2024,Region Asia,MA Asia West,Thailand,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,SDLG,China,SAL,5
2024,Region Asia,MA Asia West,Thailand,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,36
2024,Region Asia,MA Asia West,Thailand,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,9
2024,Region Asia,MA Asia West,Thailand,360,GPE Wheel Loaders,>12,VCE,Volvo CE,SDLG,China,SAL,11
2024,Region Asia,MA Asia West,Timor-Leste,300,Compact Excavators,Midi,VCE,Volvo CE,SDLG,China,SAL,2
2024,Region Asia,MA Asia West,Timor-Leste,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,2
2024,Region Asia,MA Asia West,Timor-Leste,360,GPE Wheel Loaders,>12,VCE,Volvo CE,SDLG,China,SAL,5
2024,Region Asia,MA Asia West,Viet Nam,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,SDLG,China,SAL,8
2024,Region Asia,MA Asia West,Viet Nam,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,7
2024,Region Asia,MA Asia West,Viet Nam,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,2
2024,Region Asia,MA Asia West,Viet Nam,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,6
2024,Region Asia,MA Korea,South Korea,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,8
2024,Region Asia,MA Korea,South Korea,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,834
2024,Region Asia,MA Korea,South Korea,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,418
2024,Region Asia,MA Korea,South Korea,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,755
2024,Region Asia,MA Korea,South Korea,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,1
2024,Region Asia,MA Korea,South Korea,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,62
2024,Region China,MA China,China,300,Compact Excavators,Midi,VCE,Volvo CE,SDLG,China,SAL,"3,507"
2024,Region China,MA China,China,300,Compact Excavators,Mini,VCE,Volvo CE,SDLG,China,SAL,"2,146"
2024,Region China,MA China,China,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,3
2024,Region China,MA China,China,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,SDLG,China,SAL,"3,483"
2024,Region China,MA China,China,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,811
2024,Region China,MA China,China,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,SDLG,China,SAL,99
2024,Region China,MA China,China,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,7
2024,Region China,MA China,China,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,24
2024,Region China,MA China,China,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,SDLG,China,SAL,433
2024,Region China,MA China,China,360,GPE Wheel Loaders,>12,VCE,Volvo CE,SDLG,China,SAL,"10,718"
2024,Region China,MA China,China,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,45
2024,Region Europe,"MA ASC EU, IL & Balkan",Austria,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,4
2024,Region Europe,"MA ASC EU, IL & Balkan",Austria,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,24
2024,Region Europe,"MA ASC EU, IL & Balkan",Austria,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,63
2024,Region Europe,"MA ASC EU, IL & Balkan",Austria,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,15
2024,Region Europe,"MA ASC EU, IL & Balkan",Austria,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,10
2024,Region Europe,"MA ASC EU, IL & Balkan",Austria,350,Compact Wheel Loaders,<7,VCE,Volvo CE,Volvo,Sweden,SAL,1
2024,Region Europe,"MA ASC EU, IL & Balkan",Austria,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,13
2024,Region Europe,"MA ASC EU, IL & Balkan",Austria,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,11
2024,Region Europe,"MA ASC EU, IL & Balkan",Austria,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,76
2024,Region Europe,"MA ASC EU, IL & Balkan",Czech Republic,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,5
2024,Region Europe,"MA ASC EU, IL & Balkan",Czech Republic,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,15
2024,Region Europe,"MA ASC EU, IL & Balkan",Czech Republic,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,12
2024,Region Europe,"MA ASC EU, IL & Balkan",Czech Republic,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,17
2024,Region Europe,"MA ASC EU, IL & Balkan",Czech Republic,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,2
2024,Region Europe,"MA ASC EU, IL & Balkan",Czech Republic,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,6
2024,Region Europe,"MA ASC EU, IL & Balkan",Czech Republic,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,4
2024,Region Europe,"MA ASC EU, IL & Balkan",Czech Republic,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,29
2024,Region Europe,"MA ASC EU, IL & Balkan",Greece,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,5
2024,Region Europe,"MA ASC EU, IL & Balkan",Greece,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,1
2024,Region Europe,"MA ASC EU, IL & Balkan",Greece,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,2
2024,Region Europe,"MA ASC EU, IL & Balkan",Portugal,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,23
2024,Region Europe,"MA ASC EU, IL & Balkan",Portugal,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,59
2024,Region Europe,"MA ASC EU, IL & Balkan",Portugal,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,49
2024,Region Europe,"MA ASC EU, IL & Balkan",Portugal,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,9
2024,Region Europe,"MA ASC EU, IL & Balkan",Portugal,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,9
2024,Region Europe,"MA ASC EU, IL & Balkan",Portugal,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,6
2024,Region Europe,"MA ASC EU, IL & Balkan",Portugal,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,7
2024,Region Europe,"MA ASC EU, IL & Balkan",Portugal,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,40
2024,Region Europe,"MA ASC EU, IL & Balkan",Spain,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,36
2024,Region Europe,"MA ASC EU, IL & Balkan",Spain,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,28
2024,Region Europe,"MA ASC EU, IL & Balkan",Spain,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,47
2024,Region Europe,"MA ASC EU, IL & Balkan",Spain,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,24
