Calendar Year,Region,Market Area,Country,Machine Line code,Machine Line,Size Class Flag,Brand Owner code,Brand Owner ,Brand,Brand Nationality,Source,FID
2023,Region Asia,MA SE Asia,Philippines,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,SDLG,China,SAL,5
2023,Region Asia,MA SE Asia,Philippines,360,GPE Wheel Loaders,>12,VCE,Volvo CE,SDLG,China,SAL,187
2023,Region Asia,MA SE Asia,Philippines,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,14
2023,Region Asia,MA SE Asia,Singapore,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,1
2023,Region Asia,MA SE Asia,Singapore,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,22
2023,Region Asia,MA SE Asia,Singapore,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,1
2023,Region Asia,MA SE Asia,Singapore,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,27
2023,Region Asia,MA SE Asia,Singapore,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,2
2023,Region Asia,MA SE Asia,Singapore,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,4
2023,Region Asia,MA SE Asia,Taiwan,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,1
2023,Region Asia,MA SE Asia,Taiwan,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,2
2023,Region Asia,MA SE Asia,Taiwan,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,SDLG,China,SAL,1
2023,Region Asia,MA SE Asia,Taiwan,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,62
2023,Region Asia,MA SE Asia,Taiwan,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,1
2023,Region Asia,MA SE Asia,Taiwan,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,20
2023,Region Asia,MA SE Asia,Taiwan,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,SDLG,China,SAL,1
