Brand Name,Brand Code,"Deletion
Indicator"
WUXI KIPOR,KIP,
WWW,WWW,
X KINEER,XIK,
XCG JOHN DEERE,XUW,
XCJ,XUW,
XCM,XCM,
XCMG,XCM,
XCMG-CSL,XCM,
XDX,XDX,
XEM,XEM,
XGMA,XEM,
XGMA XIAGONG,XEM,
XI'AN ROAD MACHINERY,XRC,
XIA,XIA,
XIAGONG,XEM,
XIAGONG XGMA MACHINERY,XEM,
XIAJIN,XIJ,
XIAMEN,XWL,
XIAMEN LTMG,XWL,
XIAMEN TOPWAY,XTM,
XIAMEN WHEEL LOADER,XIA,
XIAMEN WHEELED LOADERS,XWL,
XIANGTAN,XIG,
XIASHENG,XSH,
XIAXIN,XIX,
XIAZHUANG,XOO,
XIAZHUANG OOK,XOO,
XINAN KINEER,XIK,
XINBANG,XIB,
XINCHANG,XCH,
XINCHUN,XIC,
XINIU,XNU,
XINXING YISHAN,YSH,
XINYUAN,XIY,
XINZHU,XIZ,
XIX,XIX,
XIZHU,XRM,
XMF,XTR,
XMJS,OCN,
XNU,XNU,
XRMC,XRC,
XSH,XSH,
XT3,XTZ,
XTREME,XCM,
XTREME MANUFACTURING,XTR,
XUAN HUA CONSTRUCTIO,XUA,
XUANHUA,XUA,
XUGONG,XXS,
XUZHOU JINZHENG EXPRESSWAY CONSTRUCTION MACHINERY CO.LTD,XJE,
XWMG,XWM,
XXM,XXM,
XXS,XXS,
YALE,YAL,
YAN,YAN,
YANCHENG,YCH,
YANGONG,YAG,
YANMAR,YAN,
YANTAI,OCN,
YEEJOA,OCN,
YEMA,YEM,
YGONG,YGG,
YIDA,YID,
YIGONG,YGG,
YINENG,YIN,
YISHAN,YSH,
YITUO,YTO,
YONGYI,YON,
YSH,YSH,
YSN,YSN,
YTO,YTO,
YTO (CHINA),GUO,
YTO GROUP,LYG,
YUAN SHAM,YUS,
YUAN SHAN,YSN,
YUC,YUC,
YUCHAI,YUC,
YUEDA,YUE,
YUERUIXIANG,OCN,
YUGONG,YUG,
YUREUIXIANG,OCN,
YUS,YUS,
YUT,YUT,
YUTONG,YUT,
ZDM,ZDM,
ZDM (RUSSIAN CO),ZDM,
ZEPPELIN,ZEP,
ZETOR,ZET,
ZEUS,ZEU,
ZHEJIANG,ZHE,
ZHONGXING,OCN,
ZHONGYUE,ZGU,
ZHUGONG,ZHU,
ZILANT,ZIL,
ZONGJIN WOLF,QZE,
ZOO,ZOO,
ZOOMLION,ZOO,
ZOONLION,ZOO,
ZOT,OCN,
,,
,,
,,
,,
,,
