tmc_row,Country Grouping,B,Country,Region,Machine Line,Machine Line,G,Size Class Flag,Brand Code,J,Reporter Flag,Pri/Sec,Source,FID,MS (%),TM,VCE FID,TM Non-VCE,CHECK 2024,existing_check,computed_check,match_count
45,GAE,UAE,UAE,Region International,GEW,GPE Excavators Wheeled,,>11T,XCMG,XCM,Y,P,DES,16,0,0,,,0,0,0,0
46,GAE,UAE,UAE,Region International,GEW,Wheeled Excavators,,>11T,Zoomlion,ZOO,,P,DES,10,0,0,,,0,0,1,1
47,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,<12,Case,CAS,Y,P,DES,1,0,0,,,0,0,0,0
48,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,<12,Caterpillar Inc,,Y,P,DES,14,0,0,,,0,0,0,0
49,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,<12,Develon,DOO,Y,P,DES,3,0,0,,,0,0,0,0
50,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,<12,Hitachi,HIT,Y,P,DES,2,0,0,,,0,0,0,0
51,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,<12,Hyundai,HYU,Y,P,DES,1,0,0,,,0,0,0,0
52,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,<12,JCB,JCB,Y,P,DES,1,0,0,,,0,0,0,0
53,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,<12,Komatsu,KOM,Y,P,DES,16,0,0,,,0,0,0,0
54,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,<12,Liugong,LIU,Y,P,DES,13,0,0,,,0,0,0,0
55,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,<12,Sany,SNY,Y,P,DES,7,0,0,,,0,0,0,0
56,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,<12,XCMG,XCM,Y,P,DES,17,0,0,,,0,0,0,0
57,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,>12,Case,CAS,Y,P,DES,10,0,0,,,0,0,0,0
58,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,>12,Caterpillar Inc,,Y,P,DES,211,0,0,,,0,0,0,0
59,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,>12,Develon,DOO,Y,P,DES,39,0,0,,,0,0,0,0
60,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,>12,Hitachi,HIT,Y,P,DES,30,0,0,,,0,0,0,0
61,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,>12,Hyundai,HYU,Y,P,DES,5,0,0,,,0,0,0,0
62,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,>12,JCB,JCB,Y,P,DES,15,0,0,,,0,0,0,0
63,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,>12,Komatsu,KOM,Y,P,DES,230,0,0,,,0,0,0,0
64,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,>12,Liugong,LIU,Y,P,DES,196,0,0,,,0,0,0,0
65,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,>12,Lonking,LON,,P,DES,20,0,0,,,0,0,1,1
66,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,>12,Sany,SNY,Y,P,DES,98,0,0,,,0,0,0,0
67,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,>12,SDLG,LIN,Y,P,DES,95,0,0,,,0,0,0,0
68,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,>12,SEM,SEM,Y,P,DES,20,0,0,,,0,0,0,0
69,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,>12,Volvo,VCE,Y,P,DES,59,0,0,,,0,0,0,0
70,GAE,UAE,UAE,Region International,WLO,Wheel Loaders,,>12,XCMG,XCM,Y,P,DES,205,0,0,,,0,0,0,0
71,GAR,Argentina,Argentina,Region Latin America,330,Articulated Haulers,,#,Bell,BEL,Y,P,PIN,1,0,0,,,0,0,0,0
72,GAR,Argentina,Argentina,Region Latin America,330,Articulated Haulers,,#,Caterpillar Inc,,Y,P,OHR,6,0,0,,,0,0,0,0
73,GAR,Argentina,Argentina,Region Latin America,330,Articulated Haulers,,#,Develon,DOO,Y,P,PIN,2,0,0,,,0,0,0,0
74,GAR,Argentina,Argentina,Region Latin America,330,Articulated Haulers,,#,Liebherr,LIE,Y,P,OHR,8,0,0,,,0,0,0,0
75,GAR,Argentina,Argentina,Region Latin America,330,Articulated Haulers,,#,Volvo,VCE,Y,P,OHR,7,0,0,,,0,0,0,0
76,GAR,Argentina,Argentina,Region Latin America,340,Rigid Haulers,,#,Caterpillar Inc,,Y,P,OHR,3,0,0,,,0,0,0,0
77,GAR,Argentina,Argentina,Region Latin America,380,Motor Graders,,#,Case,CAS,Y,P,OHR,6,0,0,,,0,0,0,0
78,GAR,Argentina,Argentina,Region Latin America,380,Motor Graders,,#,Caterpillar Inc,,Y,P,OHR,20,0,0,,,0,0,0,0
79,GAR,Argentina,Argentina,Region Latin America,380,Motor Graders,,#,Deere,JOH,Y,P,OHR,34,0,0,,,0,0,0,0
80,GAR,Argentina,Argentina,Region Latin America,380,Motor Graders,,#,Hidromek,HID,Y,P,OHR,4,0,0,,,0,0,0,0
81,GAR,Argentina,Argentina,Region Latin America,380,Motor Graders,,#,Komatsu,KOM,Y,P,OHR,12,0,0,,,0,0,0,0
82,GAR,Argentina,Argentina,Region Latin America,380,Motor Graders,,#,Liugong,LIU,Y,P,OHR,8,0,0,,,0,0,0,0
83,GAR,Argentina,Argentina,Region Latin America,380,Motor Graders,,#,New Holland,NEW,Y,P,OHR,16,0,0,,,0,0,0,0
84,GAR,Argentina,Argentina,Region Latin America,380,Motor Graders,,,OTN,OTN,,P,OHR,17,0,0,,,0,0,1,1
85,GAR,Argentina,Argentina,Region Latin America,380,Motor Graders,,#,Sany,SNY,Y,P,OHR,27,0,0,,,0,0,0,0
86,GAR,Argentina,Argentina,Region Latin America,380,Motor Graders,,#,SDLG,LIN,Y,P,OHR,8,0,0,,,0,0,0,0
87,GAR,Argentina,Argentina,Region Latin America,380,Motor Graders,,#,Shantui,SBM,Y,P,OHR,19,0,0,,,0,0,0,0
88,GAR,Argentina,Argentina,Region Latin America,380,Motor Graders,,,Sinomach,SIM,,P,OHR,31,0,0,,,0,0,1,1
89,GAR,Argentina,Argentina,Region Latin America,380,Motor Graders,,#,XCMG,XCM,Y,P,OHR,13,0,0,,,0,0,0,0
90,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Bobcat,BOB,,P,OHR,10,0,0,,,0,0,1,1
91,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Bull,BUL,,P,OHR,20,0,0,,,0,0,1,1
92,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Case,CAS,,P,OHR,35,0,0,,,0,0,1,1
93,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Caterpillar Inc,CAT,,P,OHR,55,0,0,,,0,0,1,1
94,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Cukurova,CUK,,P,OHR,5,0,0,,,0,0,1,1
95,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Deere,JOH,,P,OHR,130,0,0,,,0,0,1,1
96,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Escorts,ECE,,P,OHR,5,0,0,,,0,0,1,1
97,GAR,Argentina,Argentina,Region Latin America,410,Backhoe Loaders,,,Foton Lovol,FOL,,P,OHR,20,0,0,,,0,0,1,1
